kind	owner	source	count	identifiers_or_shape	compatibility
http	activity	apps/activity/openapi.yaml	9	HealthzController_check,ActivitiesController_findByGuild,ActivitiesController_suggestActorNames,ActivitiesController_suggestWorlds,ActivitiesController_suggestClanNames,ActivitiesController_findByUser,ActivitiesController_getMemberActivityStats,ActivitiesController_findOne,ActivitiesController_deleteActivity	preserve method path status schema security and operationId
http	api	apps/api/openapi.yaml	199	UsersController_deleteAccount,UsersController_getUserPreferences,UsersController_updateUserPreferences,UsersController_getCurrentUserGuilds,UsersController_getCurrentUserAccessibleGuilds,UsersController_getUserGameAccountPreferences,UsersController_updateUserGameAccountPreferences,MembersController_getMe,MembersController_refreshMe,MembersController_refreshMember,MembersController_deactivateMember,MembersController_getMemberLootlogConfigSummary,MembersController_getGuildMembers,MembersController_getGuildMemberReferences,MembersController_getGuildMembersSummary,MembersController_refreshAllMembers,MembersController_getLatestRefreshJob,MembersController_getRefreshJobStatus,GuildsController_getUserGuilds,GuildsController_getUserGuildsWithPermissions,GuildsController_getManageableUserGuilds,GuildsController_getGuildById,GuildsController_updateGuildConfig,GuildsController_getGuildConfig,GuildsController_getWorldsByGuildId,GuildsController_getGuildPermissions,GuildsController_getGuildDiscordSyncStatus,GuildsController_refreshGuildDiscordSync,GuildsInternalController_getUserPermissions,GuildsInternalController_getGuildByIdOrVanityUrl,RolesController_getGuildRoles,RolesController_updateGuildRole,TimersController_getAllTimers,TimersController_getRecentTimerHistory,TimersController_getTimers,TimersController_searchNpcsWithTimerData,TimersController_createAutoTimer,TimersController_resetTimer,TimersController_deleteTimer,TimersController_getTimerHistory,TimersController_restoreTimerFromHistory,TimersController_createManualTimer,UserLootlogConfigController_getUserLootlogConfigByAccountId,UserLootlogConfigController_createOrUpdateLootlogCharacterConfig,UserLootlogConfigController_getPlayersCatchingGuilds,TimerSettingsController_getGlobalSettings,TimerSettingsController_updateGlobalSettings,TimerSettingsController_getGuildSettings,TimerSettingsController_updateGuildSettings,TimerSettingsController_migrateSettings,SettingsDocumentsController_getPreferences,SettingsDocumentsController_patchPreferences,LootsController_fetchLootsByGuildId,LootsController_getLootStats,LootsController_countLootsByGuildId,LootsController_resolveLootItemByHid,LootsController_fetchLootById,LootsController_deleteLoot,LootsController_createLoot,LootsController_getComments,LootsController_createComment,LootsController_updateLoot,LootlogConfigController_getLootlogConfig,LootlogConfigController_updateNpc,HealthzController_healthCheck,ChatController_getChatMessages,ChatController_sendChatMessage,ChatController_clearChatMessages,ChatController_updateChatMessage,ChatController_deleteChatMessage,listReservationSpots,listSpotReservations,createReservation,deleteReservation,pinReservationSpot,unpinReservationSpot,listReservationShares,createReservationShareInvitation,revokeReservationShareInvitation,revokeReservationShare,previewReservationShareInvitation,acceptReservationShareInvitation,listMyReservations,updateMyReservation,deleteMyReservation,NotificationsGuildController_getGuildTargets,NotificationsGuildController_createGuildTarget,NotificationsGuildController_getAvailableGuildTargets,NotificationsGuildController_updateGuildTarget,NotificationsGuildController_deleteGuildTarget,NotificationsGuildController_getGuildRules,NotificationsGuildController_createGuildRule,NotificationsGuildController_updateGuildRule,NotificationsGuildController_deleteGuildRule,NotificationsGuildController_rebuildGuildRuleJobs,NotificationsGuildController_triggerGuildRuleTest,NotificationsGuildController_getGuildJobs,NotificationsGuildController_cancelGuildJob,NotificationsUserController_getUserTargets,NotificationsUserController_createUserTarget,NotificationsUserController_updateUserTarget,NotificationsUserController_deleteUserTarget,NotificationsUserController_triggerUserTargetTest,NotificationsUserController_getUserRules,NotificationsUserController_createUserRule,NotificationsUserController_updateUserRule,NotificationsUserController_deleteUserRule,NotificationsUserController_getUserJobs,NotificationsUserController_getWatchedItems,NotificationsUserController_createWatchedItem,NotificationsUserController_quickAddWatchedItem,NotificationsUserController_deleteWatchedItem,MessagingController_sendNotification,MessagingController_volunteer,PartyReadyRoomController_create,PartyReadyRoomController_list,PartyReadyRoomController_get,PartyReadyRoomController_apply,PartyReadyRoomController_withdraw,PartyReadyRoomController_remove,PartyReadyRoomController_resolveInvitationTargets,PartyReadyRoomController_observeParty,PartyReadyRoomController_cancel,SoundSettingsController_getSettings,SoundSettingsController_updateSettings,createEvent,listEvents,showEvent,updateEvent,deleteEvent,showEventOverview,showEventWrapped,listEventMaps,recalculateEventPoints,EventsAssignmentController_assignMember,EventsAssignmentController_unassignMember,EventsAssignmentController_selfAssignMember,EventsAssignmentController_selfUnassignMember,EventsAssignmentController_addHero,EventsAssignmentController_updateHero,EventsAssignmentController_deleteHero,EventsAssignmentController_addMap,EventsAssignmentController_deleteMap,EventsAssignmentController_getLocations,EventsAssignmentController_createLocation,EventsAssignmentController_updateLocation,EventsAssignmentController_deleteLocation,EventsAssignmentController_reorderLocations,EventsAssignmentController_assignMapToLocation,listPendingParticipationConfirmations,acknowledgeExpiredParticipationConfirmations,confirmParticipationForKill,listEventRanking,updateRankingPoints,listEventHeroTimers,EventsRankingController_getEventHeroStats,EventsRankingController_getEventKillHistory,EventsRankingController_getMemberKillHistory,EventsRankingController_getHeroKillHistory,EventsRankingController_getKillDetail,EventsRankingController_updateKillPoint,EventsMonitoringController_getCoordination,EventsMonitoringController_getKillTimelineData,EventsMonitoringController_getHeroCoverageGaps,EventsMonitoringController_getMapCoverageGaps,EventsMonitoringController_getActiveGapForMap,EventsMonitoringController_getActiveGapsForHero,EventsMonitoringController_getHeroPresenceStats,EventsMonitoringController_getHeroRespawnConfig,EventsMonitoringController_closeRespawnWindow,EventsMonitoringController_openRespawnWindow,listPinnedEvents,pinEvent,unpinEvent,MapsController_getMaps,MapTemplatesController_getTemplates,MapTemplatesController_createTemplate,MapTemplatesController_updateTemplate,MapTemplatesController_deleteTemplate,KillsController_createKill,KillsController_getGuildKillStats,KillsController_getUserKillStats,KillsController_getUserNpcKills,KillsController_getGuildTopNpcs,KillsController_getGuildTopKillersByType,KillsController_getNpcKillers,KillsController_getMemberKills,AuthenticatedGuildStatsCardController_refreshStatsCard,PublicGuildStatsCardController_getStatsCard,DocsController_getDocuments,DocsController_createDocument,DocsController_getTrash,DocsController_getHistory,DocsController_getHistorySnapshot,DocsController_getDocument,DocsController_updateDocument,DocsController_deleteDocument,DocsController_restoreDocument,DocsController_purgeDocument	preserve method path status schema security and operationId
http	auth	apps/auth/openapi.yaml	4	HealthzController_healthCheck,AuthController_verify,AuthController_getScopes,AuthController_getIdpToken	preserve documented endpoints plus raw Better Auth /idp handler
http	battlelog	apps/battlelog-service/openapi.yaml	26	HealthzController_healthCheck,BattlesController_createBattle,BattlesController_getDashboardBattles,BattlesController_getUserCharacters,BattlesController_getBattleAnalytics,BattlesController_getAbyssSeasons,BattlesController_getCombatProfile,BattlesController_getProfessionWinRate,BattlesController_getHeadToHead,BattlesController_getCurrentStreak,BattlesController_getBattleDuration,BattlesController_getPhGrowth,BattlesController_getRatingGrowth,BattlesController_getRatingDeltaByOpponent,BattlesController_getPlayerVsPlayerBattles,BattlesController_searchWarriors,BattlesController_getUserWorlds,BattlesController_getBattleTimeline,BattlesController_getBattle,BattlesController_updateBattle,BattlesController_deleteBattle,BattlesController_getBattleRawData,PublicBattlesController_getPublicBattle,PublicBattlesController_getPublicBattleRaw,PublicBattlesController_getPublicBattleTimeline,InternalController_deleteUserData	preserve public battle links and bearer/public split
http	search	apps/search/openapi.yaml	5	HealthzController_healthCheck,PlayersController_getPlayers,NpcsController_getNpcs,ItemsController_getItems,AllController_searchAll	preserve method path status schema and operationId
rabbitmq	shared	apps/api/src/config/rabbitmq.config.ts;apps/gateway/src/config/rabbitmq.config.ts	2 exchanges	default topic;retry topic;durable main retry and DLQ queues	preserve exact exchange routing queue payload retry headers TTL ack and nack
rabbitmq	gateway	apps/gateway/src/gateway/enums/routing-key.enum.ts;apps/gateway/src/gateway/enums/queue.enum.ts	families	guilds loot timers reservations messages members roles notifications party ready-room activity events presence	gateway fan-out and retry topology is deployed
rabbitmq	api	apps/api/src/enum/routing-key.enum.ts;apps/api/src/enum/queue.enum.ts	families	guild sync roles members notification Discord search activity events presence	backend consumer queue names differ from gateway names
realtime	gateway	apps/gateway/src/gateway/enums/gateway-event.enum.ts	39	Socket.IO events listed in BASELINE.md	intentional coordinated replacement by WebSocket v1 only
rooms	gateway	apps/gateway/src/gateway/utils/room-utils.ts	4 families	guild feature tier;guild scope;user guild;air-tags	server-derived and Organization-scoped
